#File format: word,sPoint,nPoint,yPoint,mPoint

#Sayori's winning words
candy,2,3,1,1
shopping,2,3,1,1
puppy,2,3,1,1
kitty,2,3,1,1
clouds,2,3,1,1
lipstick,1,3,2,1
parfait,2,3,1,1
strawberry,2,3,1,1
pink,2,3,1,1
chocolate,2,3,1,1
heartbeat,1,3,2,2
kiss,1,3,2,2
melody,2,3,1,2
ribbon,2,3,1,2
jumpy,2,3,1,1
doki-doki,2,3,1,2
kawaii,2,3,1,1
skirt,2,3,1,2
cheeks,2,3,1,1
email,2,3,1,1
sticky,2,3,1,1
bouncy,2,3,1,1
shiny,2,3,1,1
nibble,2,3,1,1
fantasy,1,3,2,1
sugar,2,3,1,1
giggle,2,3,1,1
marshmallow,2,3,1,1
hop,2,3,1,1
skipping,2,3,1,1
peace,2,3,1,1
spinning,2,3,1,1
twirl,2,3,1,1
lollipop,2,3,1,1
poof,2,3,1,1
bubbles,2,3,1,1
whisper,2,3,1,2
summer,2,3,1,1
waterfall,1,3,2,1
swimsuit,2,3,1,1
vanilla,2,3,1,1
headphones,2,3,1,1
games,2,3,1,2
socks,2,3,1,1
hair,2,3,1,2
playground,2,3,1,1
nightgown,1,3,2,1
blanket,1,3,2,1
milk,2,3,1,1
pout,2,3,1,1
anger,2,3,1,1
papa,2,3,1,1
valentine,2,3,1,2
mouse,1,3,2,1
whistle,2,3,1,1
boop,2,3,1,2
bunny,2,3,1,1
anime,2,3,1,1
jump,2,3,1,1

#Yuri's words
suicide,2,1,3,1
imagination,2,1,3,2
secretive,2,1,3,2
vitality,1,1,3,1
effulgent,1,1,3,1
crimson,1,1,3,1
whirlwind,1,1,3,1
afterimage,1,1,3,1
vertigo,1,1,3,1
disoriented,1,1,3,2
essence,2,1,3,2
ambient,2,1,3,1
starscape,2,1,3,1
disarray,1,1,3,2
contamination,1,1,3,1
intellectual,1,1,3,2
analysis,1,1,3,2
entropy,1,1,3,1
vivacious,1,1,3,1
uncanny,2,1,3,1
incongruent,1,1,3,1
wrath,2,1,3,2
heavensent,2,1,3,2
massacre,2,1,3,1
philosophy,1,1,3,2
fickle,1,1,3,1
tenacious,1,1,3,2
aura,2,1,3,2
unstable,1,1,3,1
inferno,2,1,3,1
incapable,2,1,3,2
destiny,2,1,3,2
infallible,1,1,3,2
agonizing,2,1,3,2
variance,1,1,3,1
uncontrollable,2,1,3,2
extreme,1,1,3,2
flee,2,1,3,1
dream,2,2,3,2
disaster,2,1,3,2
vivid,2,1,3,1
vibrant,1,2,3,2
question,1,2,3,1
fester,2,1,3,1
judgment,1,1,3,2
cage,1,2,3,2
explode,1,2,3,1
pleasure,1,2,3,2
lust,1,2,3,2
sensation,1,2,3,2
climax,1,2,3,2
electricity,1,2,3,1
disown,1,1,3,1
despise,2,1,3,1
infinite,2,1,3,2
eternity,2,1,3,2
time,2,1,3,2
universe,2,1,3,1
unending,2,1,3,2
raindrops,2,1,3,1
covet,1,1,3,2
unrestrained,1,1,3,2
landscape,2,1,3,1
portrait,2,1,3,1
journey,2,1,3,2
meager,1,1,3,1
anxiety,2,1,3,1
frightening,2,1,3,2
horror,2,1,3,1
melancholy,2,1,3,2
insight,2,1,3,1
atone,2,1,3,2
breathe,1,2,3,2
captive,2,1,3,2
desire,1,2,3,2
graveyard,2,1,3,1
determination,1,1,3,2
existence,2,1,3,2

#Monika's words
piano,2,1,1,3
aware,2,1,2,3
informed,1,2,2,3
different,2,2,2,3
reality,1,2,1,3
obsession,1,1,2,3
delete,1,1,1,3
motive,2,1,2,3
envy,2,2,1,3
fake,1,2,1,3
alone,2,1,2,3
nobody,1,1,1,3
transcend,1,1,2,3
concealed,2,2,2,3
poetry,2,2,2,3
feeling,2,1,2,3
words,1,1,2,3
pixel,1,1,1,3
stuck,2,2,2,3
passion,2,2,1,3
waveform,2,2,1,3
screech,1,1,2,3
metaphor,1,2,2,3
escape,2,2,2,3
screen,1,1,1,3
epiphany,1,1,2,3
modify,1,2,2,3
impossible,1,1,2,3
virtual,1,1,1,3
void,1,1,2,3
space,2,1,2,3
meaning,2,1,2,3
lost,2,2,2,3
rift,1,1,1,3
crossover,2,2,1,3
sacrifice,2,1,2,3
world,1,2,2,3
trapped,1,1,2,3
sunshine,2,2,1,3
manufactured,1,1,1,3
perception,2,2,2,3
backup,1,1,2,3
discord,1,1,2,3
null,2,1,2,3
files,1,1,1,3
dimension,1,1,2,3
system,1,1,2,3
artificial,1,1,2,3
endless,2,1,2,3
power,1,1,2,3
monochrome,1,1,2,3
grayscale,1,1,2,3
alive,2,1,2,3
adapt,1,1,2,3
error,1,1,1,3
